url_a,url_b,score,severity,shared_terms
https://escortsbookings.com,https://escortsbookings.com/,1.0,high,"girls, dehradun, call, profile, gold, book, photos, whatsapp"
https://escortsbookings.com/dabody/other,https://escortsbookings.com/dadrink/no,1.0,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dabody/other,https://escortsbookings.com/daeyes/other,1.0,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dabody/other,https://escortsbookings.com/dasmoke/no,1.0,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dadrink/no,https://escortsbookings.com/daeyes/other,1.0,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dadrink/no,https://escortsbookings.com/dasmoke/no,1.0,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dadrink/yes,https://escortsbookings.com/dasmoke/yes,1.0,high,"yes, archives, dehradun, results, found, rajpur, call, road"
https://escortsbookings.com/daeyes/black,https://escortsbookings.com/dahair/black,1.0,high,"black, archives, dehradun, results, found, rajpur, call, road"
https://escortsbookings.com/daeyes/other,https://escortsbookings.com/dasmoke/no,1.0,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/privacy,https://escortsbookings.com/privacy-policy,1.0,high,"data, cookies, may, information, personal, use, service, device"
https://escortsbookings.com/dabody/other,https://escortsbookings.com/dathnicity/indian,0.9243,high,"archives, dehradun, results, found, rajpur, call, road, fun"
https://escortsbookings.com/dadrink/no,https://escortsbookings.com/dathnicity/indian,0.9243,high,"archives, dehradun, results, found, rajpur, call, road, fun"
https://escortsbookings.com/daeyes/other,https://escortsbookings.com/dathnicity/indian,0.9243,high,"archives, dehradun, results, found, rajpur, call, road, fun"
https://escortsbookings.com/dasmoke/no,https://escortsbookings.com/dathnicity/indian,0.9243,high,"archives, dehradun, results, found, rajpur, call, road, fun"
https://escortsbookings.com/dabody/other,https://escortsbookings.com/dadrink/yes,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dabody/other,https://escortsbookings.com/dasmoke/yes,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dadrink/no,https://escortsbookings.com/dadrink/yes,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dadrink/no,https://escortsbookings.com/dasmoke/yes,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dadrink/yes,https://escortsbookings.com/daeyes/other,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dadrink/yes,https://escortsbookings.com/dasmoke/no,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/daeyes/other,https://escortsbookings.com/dasmoke/yes,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
https://escortsbookings.com/dasmoke/no,https://escortsbookings.com/dasmoke/yes,0.9199,high,"archives, dehradun, results, found, rajpur, call, road, escort"
